name,category,resources,dependencies,start_us,duration_us,end_us,blocking_event,description
norm1,norm,GPU_COMPUTE,,0.000000000,1.008192000,1.008192000,,RMSNorm
qkv,qkv,GPU_COMPUTE,norm1,1.008192000,3.635776000,4.643968000,norm1,QKV projection
rope,rope,GPU_COMPUTE,qkv,4.643968000,1.018432000,5.662400000,qkv,QK norm and RoPE
attention,attention,GPU_COMPUTE,rope,5.662400000,3.113536000,8.775936000,rope,decode attention on GPU
o_proj,attention_output,GPU_COMPUTE,attention,8.775936000,3.109440000,11.885376000,attention,attention output projection
residual1,residual,GPU_COMPUTE,o_proj,11.885376000,1.012288000,12.897664000,o_proj,residual add
norm2,norm,GPU_COMPUTE,residual1,12.897664000,1.008192000,13.905856000,residual1,RMSNorm
router,router,GPU_COMPUTE,norm2,13.905856000,2.069888000,15.975744000,norm2,MoE router
metadata,metadata,GPU_COMPUTE,router,15.975744000,1.000128000,16.975872000,router,routing metadata
dispatch,dispatch,,metadata,16.975872000,0.000000000,16.975872000,metadata,single-GPU dispatch placeholder
scheduler,scheduler,GPU_COMPUTE,metadata,16.975872000,0.000000000,16.975872000,metadata,gpu-only placement policy
gpu_weight_load,gpu_weight_load,,scheduler,16.975872000,148.458024000,165.433896000,scheduler,ordinary GPU HBM reads from mixed Ramulator cycle-v1 run
gpu_expert_compute,gpu_expert,GPU_COMPUTE,gpu_weight_load;dispatch,165.433896000,3.268435456,168.702331456,gpu_weight_load,grouped expert GEMM
pim_gwrite,pim_write,,scheduler;dispatch,16.975872000,0.000000000,16.975872000,scheduler,PIM_GWRITE milestone from mixed Ramulator cycle-v1 run
pim_expert_compute,pim_expert,,pim_gwrite,16.975872000,0.000000000,16.975872000,pim_gwrite,PIM_MAC milestone delta from mixed Ramulator cycle-v1 run
pim_read,pim_read,,pim_expert_compute,16.975872000,0.000000000,16.975872000,pim_expert_compute,PIM_READ milestone delta from mixed Ramulator cycle-v1 run
combine,combine,GPU_COMPUTE,gpu_expert_compute;pim_read,168.702331456,1.036864000,169.739195456,gpu_expert_compute,weighted expert combine
residual2,residual,GPU_COMPUTE,combine,169.739195456,1.012288000,170.751483456,combine,residual add
